user_id,book_id,title,rating
11676,0515121843,Sea Swept (Quinn Brothers (Paperback)),4.568811094869609
11676,0446604844,Total Control,4.852260509925548
11676,0805059555,"\O\"" Is for Outlaw""",5.228920980355104
11676,0553296981,Anne Frank: The Diary of a Young Girl,6.856960964137834
11676,0671888587,I'll Be Seeing You,4.5270407817332545
11676,0440224861,Irresistible Forces,3.830002930996388
11676,060980619X,God Save the Sweet Potato Queens,4.985027373156272
11676,0743235150,Everything's Eventual : 14 Dark Tales,4.9364551040755185
11676,0140620222,Pride and Prejudice (Penguin Popular Classics),6.097877171801855
11676,0446354732,Nothing Lasts Forever,4.1083612283222415
11676,0671042858,The Girl Who Loved Tom Gordon,4.426332665313113
11676,0446350109,Windmills of the Gods,3.996143614915882
11676,0446364495,The Bridges of Madison County,5.194592974617678
11676,0345439104,Drowning Ruth (Oprah's Book Club),4.888086330448371
11676,0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),6.2531592477698865
11676,0312983298,Full Speed (Janet Evanovich's Full Series),4.9387725959295254
11676,0743422910,The Constant Gardener,3.9592979774225903
11676,0316693294,Cat and Mouse,4.868608487138925
11676,0345391802,The Hitchhiker's Guide to the Galaxy,5.933824275673235
11676,0316666009,1st to Die: A Novel,4.581461949065758
11676,0440224772,Mirror Image,3.887855604898974
11676,0446365386,Gone with the Wind,6.74890034364353
11676,0446611913,Up Country,4.578294496568935
11676,0446611611,City of Bones,4.363316591603091
11676,0743469801,Why Girls Are Weird : A Novel,5.041722374896615
11676,0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,4.937793669500443
11676,006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),4.982676091767703
11676,0440236991,Leap of Faith,5.409052172793761
11676,0316693006,Four Blind Mice,5.591309595777879
11676,0345435796,The First Horseman,4.901191299807131
11676,0552996009,Notes From a Small Planet,5.153756356636955
11676,0385511612,Bleachers,4.662201017934898
11676,0440208459,Burn Marks (V.I. Warshawski Novels (Paperback)),4.143711526499148
11676,0316666343,The Lovely Bones: A Novel,5.841282317560606
11676,0515121495,The List,3.8686394540795486
11676,0671028383,Grave Secrets,4.797060426259586
11676,0312978367,The Prometheus Deception,4.2441147299356485
11676,0440414806,Holes (Yearling Newbery),5.9918663071983715
11676,1551667509,Haunted,4.41279447929383
11676,068484477X,STONES FROM THE RIVER,4.771218604547618
11676,0385730586,Sisterhood of the Traveling Pants,6.225130496490959
11676,1551669293,204 Rosewood Lane,4.852358127625748
11676,0425144429,Mr. Murder,4.298648867356084
11676,0671537458,Waiting to Exhale,3.9405957452019313
11676,0515122491,The Maze,5.271213789373726
11676,0425191184,Red Rabbit,4.13711984548798
11676,0743437802,The Stone Monkey (Lincoln Rhyme Novels (Paperback)),4.405587784821391
11676,034540761X,The Final Judgment,3.795614581724344
11676,0312963009,Neanderthal: A Novel,4.265421948161937
11676,0553287303,Second Child,4.335618851347085
11676,0061097853,The First Eagle (Jim Chee Novels),4.93399351190407
11676,0679442790,The Reader,4.430373122911507
11676,0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),5.0468982596416385
11676,0446679593,Suzanne's Diary for Nicholas,5.678069058698771
11676,0812509250,Xenocide (Ender Wiggins Saga (Paperback)),5.052308137140486
11676,0671867164,The Lottery Winner: Alvirah and Willy Stories,3.733940055627434
11676,080410526X,All I Really Need to Know,4.968182792613803
11676,055356773X,The Cereal Murders,4.099111550595678
11676,0743406176,If Only It Were True,5.433550597154878
11676,1551668300,16 Lighthouse Road,4.446925795087589
11676,0449006522,Manhattan Hunt Club,4.5007371317643345
11676,0684195984,FROM POTTER'S FIELD,5.276492750802449
11676,0451205626,Cold Paradise (Stone Barrington Novels (Paperback)),4.520581051819246
11676,0446343455,Tourist Season,5.116500909308335
11676,0312199430,One Thousand White Women : The Journals of May Dodd: A Novel,5.861661812991015
11676,0375412530,Back When We Were Grownups: A Novel,5.67033081652921
11676,0061098795,The Wailing Wind,4.010045660575716
11676,0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),5.1087377866033785
11676,0671027344,The Perks of Being a Wallflower,5.77518533464567
11676,034536676X,The World According to Garp,5.439261266121456
11676,0553280589,Eva Luna,4.937152092283692
11676,0449005909,Nightshade,4.298513383156414
11676,0425169863,Point of Origin,5.247529738314472
11676,0679430946,The Hot Zone,5.08438667402878
11676,0440209412,Message from Nam,4.580039894787763
11676,0375412824,The Dive From Clausen's Pier (Alex Awards),5.033670647984387
11676,0670844527,Dolores Claiborne,5.619007877799165
11676,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),8.859316414287193
11676,0312150601,Behind the Scenes at the Museum : A Novel,4.110946216358302
11676,0425191583,Imitation in Death (Eve Dallas Mysteries (Paperback)),4.119018614878002
11676,0345453387,Dog Handling,5.956178220933289
11676,0821769367,The Night Before,4.018259356397279
11676,0446519138,Simple Abundance:  A Daybook of Comfort and Joy,4.720700314632499
11676,0449213943,All Quiet on the Western Front,4.832889383139262
11676,0446607657,When the Wind Blows,4.750775981690681
11676,0345384377,Sole Survivor,4.553183926683108
11676,0804102988,Sarum: The Novel of England,5.110312844115885
11676,0446527793,The Guardian,4.568825414967466
11676,0877017883,Griffin &amp; Sabine: An Extraordinary Correspondence,8.637285512776023
11676,0440200989,Weep No More My Lady,4.675955619051364
11676,0553572997,The Alienist,5.050720969643178
11676,0679419462,The Lost World: A Novel,5.253848910106085
